bonafide_stem,times_used_in_morphs
img335079,4
img335332,3
img335355,5
img335408,5
img335455,5
img335523,1
img335550,5
img336045,4
img336051,4
img336307,5
img336441,4
img336764,5
img336765,4
img336823,5
img336965,5
img337100,5
img337488,2813
img338054,5
img338613,3
img339055,4
img339226,3
img339285,4
img339573,4
img339583,3
img339639,3
img339661,1
img339758,5
img339823,4
img339996,2
img340002,3
img340209,2
img340220,4
img340307,4
img340648,5
img340675,1
img340813,2
img341007,3
img341469,3
img341471,2
img341774,5
img341799,2
img341953,3
img342145,5
img343001,2
img343031,2
img343211,5
img343278,3
img343412,5
img343538,5
img343658,4
img343693,5
img343837,5
img344169,5
img344500,2
img344635,5
img344643,4
img344815,3
img344944,4
img345202,5
img345629,3
img345690,4
img345713,4
img345760,5
img345796,5
img345836,5
img345898,2
img346006,4
img346008,5
img346020,4
img346058,3
img346097,3
img346150,4
img346201,4
img346243,2
img346474,4
img346680,1
img346806,4
img346935,4
img347097,3
img347105,5
img347227,4
img347679,1
img347818,4
img347962,5
img347972,5
img348012,5
img348165,3
img348253,3
img348274,3
img348407,4
img348726,4
img348728,5
img348791,3
img348924,3
img349086,1
img349343,4
img349485,3
img349625,4
img349633,3
img350174,3
img350184,5
img350196,2
img350240,5
img350302,5
img350364,5
img350394,3
img350409,4
img350497,4
img350569,3
img350634,5
img350821,3
img350905,3
img351158,1
img351175,4
img351326,5
img351343,5
img352293,5
img352295,5
img352662,4
img352669,4
img353131,5
img353201,3
img353232,5
img353484,5
img353777,5
img353853,5
img353877,5
img354081,4
img354159,4
img354550,2
img354590,4
img354660,3
img355059,4
img355108,5
img355336,3
img355413,2
img355497,5
img355699,5
img355758,4
img355950,5
img356277,5
img356473,3
img356605,5
img356718,5
img356719,4
img356979,5
img357113,3
img357182,3
img357336,4
img357359,5
img357470,4
img357861,3
img358300,3
img358369,4
img358574,4
img358606,2
img358873,2
img359077,3
img359713,4
img359735,3
img359805,4
img359855,5
img360129,5
img360178,3
img360434,3
img360454,5
img360726,2
img360812,5
img361151,2
img361200,2
img361248,5
img361317,3
img361353,3
img361434,5
img361778,5
img362981,2
img362985,2
img363013,3
img363098,5
img363482,4
img363771,5
img364076,4
img364144,3
img364368,4
img364668,5
img364937,5
img364960,4
img365147,4
img365298,5
img365397,1
img365533,3
img365636,5
img365840,5
img365858,5
img366095,1
img366106,1
img366107,2
img366167,5
img366189,5
img366346,4
img366477,4
img366498,2
img366580,5
img366660,3
img366681,3
img366786,5
img366802,4
img367128,1
img367201,3
img367367,4
img367407,3
img367532,5
img367669,4
img367786,2
img368034,3
img368372,4
img368379,4
img368407,3
img368583,4
img368856,5
img368858,5
img368910,4
img369110,5
img369115,4
img369175,3
img369180,4
img369249,3
img369280,5
img369393,3
img369470,4
img369545,4
img369597,4
img369648,5
img370183,1
img370288,5
img370314,3
img370485,2
img370651,5
img371114,4
img371222,5
img371231,3
img371260,5
img371273,1
img371310,5
img371480,2
img371619,4
img371732,2
img371833,5
img372023,1
img372072,4
img372199,5
img372760,3
img372846,5
img373009,4
img373138,4
img373812,3
img374596,3
img374698,3
img374909,4
img375538,4
img375618,3
img375827,5
img375865,1
img375945,4
img375956,4
img376309,4
img376346,4
img376457,1
img376502,5
img376556,5
img376789,2
img376953,4
img377065,4
img377139,5
img377198,5
img377627,5
img377767,4
img377961,5
img378352,3
img378445,3
img378476,1
img378556,4
img378669,4
img378751,4
img378804,3
img378836,3
img378971,5
img379515,5
img379526,3
img379745,5
img379963,2
img380049,5
img380136,5
img380186,2
img380215,5
img380216,3
img380748,3
img380777,3
img380852,4
img381028,5
img381472,5
img381561,4
img381734,5
img381947,2
img382406,2
img382465,4
img382519,3
img382576,2
img382827,5
img382975,4
img383013,2
img383562,2
img383563,4
img383683,5
img383718,5
img383761,3
img383944,4
img384011,3
img384149,2
img384155,4
img384338,1
img384532,5
img384591,3
img384882,5
img384977,5
img385318,3
img385391,4
img385789,5
img385818,5
img385940,5
img386098,4
img386760,4
img386952,3
img386972,1
img387010,3
img387530,3
img387549,5
img387559,4
img387660,5
img387682,3
img387876,5
img387912,3
img387957,4
img387994,5
img388046,4
img388306,5
img388663,5
img388671,5
img388709,4
img389021,5
img389744,4
img389895,5
img390267,5
img390298,5
img390390,2
img390467,5
img390470,4
img390653,4
img390686,4
img390735,4
img390772,2
img390861,1
img390900,4
img390965,4
img391125,2
img391560,4
img391760,4
img391967,5
img392175,3
img392217,5
img392334,4
img392540,3
img392769,5
img392844,1
img392933,3
img393020,5
img393026,5
img393220,4
img393348,4
img393543,4
img393653,4
img394188,5
img394195,3
img394323,2
img394460,5
img394506,3
img394558,5
img394922,4
img394990,4
img395488,4
img395852,4
img396067,4
img396226,5
img396277,5
img396339,5
img396440,1
img396548,5
img396633,5
img396697,4
img396890,5
img397148,1
img397322,3
img397530,4
img397621,3
img397780,5
img397794,5
img397867,4
img397997,4
img398017,4
img398091,5
img398168,5
img398395,1
img398466,5
img398655,5
img398718,2
img398793,4
img398805,5
img399572,3
img399773,2
img399833,5
img399967,3
img400314,4
img400339,2
img400376,2
img400472,4
img400532,3
img400735,4
img400796,2
img400908,2
img400937,5
img400944,1
img401227,5
img401409,4
img401571,2
img401675,4
img401753,3
img401811,4
img402043,4
img402466,4
img402582,4
img402669,2
img402894,3
img403053,2
img403079,4
img403093,2
img403275,4
img403286,3
img403456,2
img403480,4
img403734,1
img403912,1
img404062,1
img404738,2
img404853,4
img405127,5
img405380,5
img405831,3
img405925,2
img405951,4
img406021,3
img406085,3
img406089,5
img406209,5
img406427,4
img406455,5
img406543,2
img406800,5
img407026,5
img407111,4
img407780,2
img407781,4
img408014,3
img408110,5
img408207,4
img408295,3
img408786,4
img409020,1
img409276,3
img409317,5
img409490,4
img409514,5
img409628,3
img409742,5
img409941,5
img409987,5
img410024,3
img410208,5
img410295,5
img410480,3
img410618,5
img410622,5
img410815,2
img410910,4
img411028,4
img411281,3
img411318,4
img411486,4
img411748,5
img411855,5
img411912,4
img411915,4
img412090,4
img412247,1
img412584,3
img413059,5
img413135,5
img413165,2
img413166,5
img413178,4
img413199,5
img413287,1
img413459,4
img413512,4
img413628,4
img413667,4
img414034,3
img414118,3
img414266,3
img414372,4
img414759,3
img414822,5
img414892,4
img414934,3
img415063,4
img415241,5
img415372,5
img415404,5
img415716,5
img416006,3
img416110,2
img416179,2
img416611,5
img416686,3
img416870,4
img417058,4
img417060,3
img417075,5
img417086,4
img417313,4
img417517,5
img417537,5
img417814,5
img417922,4
img418103,4
img418142,5
img418168,2
img418191,4
img418270,3
img418284,5
img418298,3
img418470,5
img418647,4
img419021,5
img419154,5
img419281,5
img419472,5
img419530,4
img419825,3
img420018,5
img420040,3
img420295,5
img420373,3
img420448,5
img420505,3
img420544,1
img420782,4
img420902,3
img420930,4
img420935,3
img420991,5
img421168,5
img421399,4
img421455,4
img421513,2
img421629,5
img421716,2
img421734,5
img421822,2
img421895,4
img421944,3
img422360,3
img422756,5
img422777,5
img422829,5
img423016,2
img423152,5
img423195,4
img423233,4
img423311,4
img423353,4
img423467,4
img423579,4
img423615,5
img423983,5
img424121,2
img424134,3
img424164,5
img424170,3
img424720,3
img425004,3
img425536,5
img425627,4
img425712,1
img425743,5
img425745,5
img425849,5
img425851,5
img426351,4
img426459,5
img426552,1
img426599,4
img426607,4
img426673,5
img426689,5
img426728,5
img426858,3
img426922,2
img426962,4
img427229,3
img427491,1
img427606,3
img427772,3
img428405,5
img428665,4
img428869,3
img428947,4
img430032,5
img430296,4
img430796,5
img431082,2
img431177,4
img431496,5
img431517,5
img431582,3
img431742,4
img431947,3
img432146,5
img432158,3
img432161,3
img432199,5
img432227,4
img432322,4
img432429,5
img432452,5
img432582,4
img432902,4
img432928,5
img433037,2
img433236,5
img433261,4
img433446,3
img433493,5
img433504,4
img433745,5
img433810,1
img433895,4
img434143,5
img434220,1
img434348,5
img434357,5
img434487,5
img434661,1
img434665,5
img434824,4
img435003,4
img435012,4
img435114,4
img435148,4
img435463,5
img435514,5
img435579,4
img435614,4
img435652,4
img435770,3
img435774,4
img435836,5
img435912,4
img435948,4
img436100,5
img436224,3
img436604,5
img436632,4
img436659,3
img436697,3
img436797,1
img436988,5
img437027,3
img437040,2
img437199,5
img437288,4
img437402,2
img437582,3
img437644,5
img437657,5
img437690,5
img437720,2
img437981,5
img438111,2
img438131,5
img438530,3
img438583,3
img438803,5
img438824,3
img439213,5
img439247,5
img439503,2
img439693,4
img439940,3
img439980,5
img440029,5
img440240,5
img440262,4
img440333,4
img440348,5
img440456,3
img440463,4
img440481,5
img440503,5
img440515,5
img440618,1
img440683,5
img440897,5
img441167,5
img441418,4
img441484,2
img441491,5
img441592,5
img441620,4
img441836,5
img442070,5
img442074,5
img442173,4
img442210,4
img442263,5
img442292,5
img442465,5
img442478,5
img442491,2
img443044,3
img443094,3
img443133,4
img443230,3
img443259,5
img443349,3
img443386,4
img443458,5
img443541,4
img443724,4
img443789,3
img443794,4
img443796,5
img443827,2
img444022,5
img444023,5
img444447,4
img444499,2
img444501,2
img444707,5
img444810,5
img445060,5
img445157,5
img445575,4
img445844,4
img445943,5
img446088,5
img446455,3
img446767,4
img446876,3
img447197,3
img447710,4
img447745,4
img447835,4
img447869,5
img447974,3
img448236,4
img448265,2
img448759,5
img448767,2
img449050,5
img449285,3
img449394,4
img449655,5
img449824,2
img449833,3
img449857,3
img449858,1
img450077,4
img450081,5
img450105,4
img450512,4
img450526,3
img450535,4
img450709,4
img451119,4
img451132,4
img451141,3
img451153,3
img451218,5
img451363,5
img451436,4
img451697,4
img451857,5
img451871,5
img452083,4
img452186,2
img452262,5
img452732,2
img452776,2
img452992,4
img453105,5
img453202,3
img453362,5
img453578,4
img453701,5
img453860,2
img453909,3
img454048,5
img454434,3
img454538,5
img454549,5
img454707,5
img455357,2
img455568,5
img455619,4
img455660,5
img455817,5
img455876,4
img456003,5
img456132,5
img456133,5
img456287,3
img456924,3
img456992,2
img457024,5
img457254,2
img457350,5
img457515,3
img457609,4
img457667,4
img457716,4
img457719,1
img458006,4
img458175,4
img458269,4
img458524,5
img458678,5
img458800,4
img458897,5
img458986,4
img459165,4
img459231,5
img459243,5
img459512,4
img459591,3
img459852,5
img459957,3
img460210,4
img460268,4
img460497,2
img460631,5
img460747,4
img460781,3
img460846,1
img460931,4
img460940,2
img460977,5
img461124,5
img461236,2
img461309,5
img461366,5
img461438,5
img461620,5
img461716,5
img461953,4
img462008,2
img462128,4
img462277,3
img462493,4
img462570,3
img462905,5
img462952,3
img463041,5
img463118,2
img463335,4
img463391,3
img463578,2
img463886,3
img464157,4
img464556,4
img464679,3
img464706,5
img464709,5
img464715,2
img464837,4
img464949,5
img464975,4
img465679,4
img465940,4
img466329,4
img466420,5
img466438,5
img466443,1
img466450,4
img466473,5
img466707,5
img467187,3
img467900,4
img468165,2
img468532,4
img468556,5
img468677,2
img468743,2
img468877,4
img468888,3
img469010,5
img469045,5
img469137,5
img469188,5
img469233,5
img469256,5
img469501,4
img469613,4
img469727,4
img469945,4
img470030,4
img470222,4
img470279,5
img470375,5
img470378,3
img470488,5
img470499,3
img470511,5
img470548,2
img470581,4
img470701,5
img470803,5
img470946,4
img471119,5
img471496,5
img471498,4
img471514,5
img472046,4
img472074,5
img472311,3
img472360,5
img472416,3
img472479,5
img472492,3
img472807,5
img472887,3
img472954,3
img472972,3
img472983,2
img473117,1
img473620,3
img474083,4
img474094,5
img474105,4
img474523,5
img474836,3
img475032,4
img475111,5
img475184,4
img475217,5
img475456,4
img475537,4
img475600,4
img475943,5
img476105,3
img476226,4
img476443,3
img476482,5
img476775,4
img477050,5
img477080,5
img477121,2
img477148,5
img477392,4
img477703,2
img477829,2
img477855,5
img477888,5
img477892,3
img478360,3
img478402,4
img478596,4
img478655,5
img478881,5
img479182,3
img479482,5
img479513,5
img479552,3
img480000,5
img480031,2
img480426,4
img480542,5
img480604,4
img480945,3
img481016,2
img481334,5
img481340,5
img481476,4
img481582,5
img481649,5
img481713,5
img481887,4
img481922,4
img482120,4
img482488,5
img482520,5
img482770,5
img482953,4
img482955,5
img483085,3
img483122,4
img483715,5
img483834,5
img483972,5
img484007,4
img484081,5
img484112,3
img484158,5
img484278,4
img484482,4
img484519,3
img484979,4
img484998,1
img485308,5
img485371,4
img485602,5
img485940,3
img485969,4
img486342,3
img486417,4
img486424,4
img486442,5
img486528,2
img486637,4
img486684,5
img486732,2
img486766,5
img486868,5
img486869,2
img486930,5
img487010,5
img487043,5
img487283,4
img487500,4
img487580,2
img487590,1
img487647,3
img487769,4
img487823,4
img487837,4
img487964,5
img488217,2
img488236,5
img488464,2
img488495,5
img488770,5
img489194,5
img489385,1
img489579,1
img489584,5
img490528,3
img491001,5
img491042,5
img491084,5
img491250,4
img491268,4
img491302,3
img491520,3
img491795,2
img491909,2
img491961,5
img492069,4
img492094,3
img492515,3
img492594,5
img492818,5
img493000,2
img493049,5
img493097,4
img493146,5
img493215,3
img493262,5
img493296,3
img493530,5
img493531,5
img493602,4
img494033,5
img494245,5
img494260,4
img494280,3
img494528,5
img494599,3
img494764,2
img494865,5
img494879,5
img495000,2
img495044,5
img495062,3
img495122,3
img495172,5
img495192,4
img495329,2
img495387,1
img495427,3
img495456,5
img495871,3
img495919,4
img496071,5
img496077,4
img496362,5
img496378,5
img496405,4
img496466,5
img496468,3
img496597,3
img496654,2
img496671,5
img496816,3260
img496822,5
img497081,4
img497113,3
img497457,5
img497593,4
img497775,4
img497808,3
img498028,3
img498060,5
img498325,5
img498377,5
img498861,3
img498946,5
img499500,3
img499509,5
img499546,3
img499736,4
img499879,5
img500054,1
img500116,2
img500118,3
img500214,5
img500219,2
img500266,5
img500457,1
img500522,5
img500636,5
img500648,3
img501000,3
img501021,5
img501327,4
img501449,3
img501496,5
img501544,3
img501545,5
img501588,2
img501630,4
img501703,3
img501898,4
img502021,4
img502752,3
img502885,1
img502944,4
img503024,5
img503266,5
img503274,5
img503325,2
img503671,4
img504146,5
img504158,5
img504170,3
img504199,4
img504329,5
img504453,3
img504776,4
img504793,5
img505266,1
img505411,2
img505504,3
img505662,4
img505740,5
img505817,2
img506472,4
img506848,4
img506948,5
img507224,5
img507246,4
img507344,4
img507433,5
img508217,5
img508276,3
img508284,3
img508448,5
img508616,1
img508755,4
img509024,4
img509035,3
img509052,5
img509174,5
img509266,4
img509416,4
img509427,4
img509550,2
img509659,3
img509722,5
img509750,4
img509798,5
img509885,4
img509892,3
img509995,4
img510044,4
img510157,5
img510202,2
img510524,4
img510838,3
img510936,4
img511174,5
img511242,5
img511302,3
img511363,1
img511760,4
img511899,5
img512228,5
img512246,5
img512455,5
img512575,4
img512997,1
img513024,3
img513504,5
img513642,2
img513734,4
img513829,5
img514020,2
img514135,3
img514150,5
img514227,3
img514810,4
img515032,5
img515111,3
img515163,5
img515450,4
img515600,5
img515667,3
img515892,5
img515978,4
img516003,5
img516109,5
img516231,4
img516261,4
img516397,5
img516592,4
img516743,4
img516866,4
img516868,5
img517003,4
img517024,4
img517299,5
img517419,5
img517659,3
img518184,4
img518555,2
img518769,3
img519077,5
img519083,4
img519086,5
img519232,4
img519340,4
img519400,4
img519667,5
img519740,5
img519794,4
img519940,4
img520064,4
img520087,3
img520343,3
img520503,2
img520859,4
img521139,5
img521231,5
img521585,5
img521589,4
img521726,4
img521845,4
img522253,3
img522260,3
img522529,5
img522978,2
img523174,4
img523206,5
img523292,5
img523395,3
img523445,5
img523803,5
img523886,2
img523916,3
img524045,5
img524083,5
img524227,4
img524397,5
img524427,1
img524501,5
img524546,4
img524615,5
img524621,5
img524749,5
img525011,4
img525269,5
img525361,5
img525400,3
img525502,2
img525530,2
img525675,5
img525690,5
img525827,5
img526165,5
img526292,1
img526298,4
img526429,5
img526823,5
img526911,5
img526915,5
img526931,5
img527162,3
img527281,1
img527337,3
img527365,2
img527406,1
img527425,5
img527894,3
img528020,5
img528223,4
img528397,5
img528705,5
img528777,4
img528946,3
img529104,3
img529285,2
img529390,3
img529539,5
img529970,3
img530132,4
img530687,1
img530908,5
img530958,3
img531195,4
img531210,2
img531568,3
img531694,5
img531949,5
img531971,3
img532049,5
img532137,3
img532186,4
img532392,4
img532480,4
img532635,4
img532685,5
img532769,4
img532780,4
img533198,3
img533347,4
img533354,4
img533381,2
img533467,5
img533514,5
img533660,5
img533768,5
img533835,4
img534065,5
img534108,3
img534231,5
img535353,5
img535359,5
img535421,5
img535455,2
img535545,4
img535563,3
img535654,4
img535887,5
img535913,2
img536071,4
img536451,2
img536474,4
img536504,4
img536716,4
img536791,5
img536856,3
img536882,3
img536884,5
img537164,3
img537776,5
img537984,2
img538004,5
img538256,5
img538321,3
img538398,5
img538517,5
img538568,5
img538752,5
img538829,3
img538831,2
img539047,3
img539434,3
img539887,5
img539928,3
img540028,1
img540072,2
img540121,5
img540186,5
img540300,3
img540308,5
img540343,4
img540528,5
img540783,2
img540859,3
img541047,3
img541615,1
img541650,3
img541674,4
img541680,4
img541892,4
img541923,4
img542210,4
img542411,5
img542489,5
img542636,5
img542644,3
img542959,4
img543277,4
img543286,4
img543304,4
img543371,4
img543802,5
img544012,5
img544241,5
img544257,3
img544380,4
img544439,3
img544513,5
img544537,5
img544562,2
img544773,5
img544791,2
img544935,5
img545181,4
img545552,4
img545554,4
img545608,4
img545840,5
img545905,4
img546322,5
img546336,3
img546356,4
img546384,2
img546535,3
img546606,4
img546642,5
img546819,5
img546821,3
img547152,4
img547180,2
img547215,5
img547342,4
img547454,5
img547508,4
img547543,5
img547605,5
img547644,5
img547980,4
img548063,5
img548134,3
img548393,3
img548557,5
img548746,4
img548845,4
img548902,5
img548983,2
img549065,4
img549133,3
img549173,3
img549341,5
img549509,4
img549593,5
img549599,2
img549651,5
img549697,4
img549744,2
img549879,5
img550027,2
img550080,3
img550143,5
img550235,2
img550247,2
img550381,4
img550421,4
img550423,3
img550600,5
img550840,5
img551091,5
img551368,5
img551372,4
img551373,4
img551415,5
img551496,1
img551571,5
img551638,5
img551643,4
img551726,5
img551747,4
img551810,5
img551904,2
img551960,2
img552112,5
img552234,5
img552310,4
img552703,1
img553364,5
img553394,4
img553417,2
img553458,3
img553549,5
img553894,5
img553926,2
img554047,5
img554194,2
img554447,3
img554499,4
img554781,2
img554856,4
img555005,5
